"","Age 0","Age 1","Age 2","Age 3","Age 4"
"Stock numbers(2019)",107870.298104755,60357.3,2860.25,6561.6,519.456
"Exploitation pattern 1st half",NA,0.31174,0.822173,1.25376,1.25376
"Exploitation pattern 2nd half",0.00173599,0.0362173,0.0955184,0.14566,0.14566
"Weight in the stock 1st half",NA,5.077404,7.927386,10.257236,12.5106
"Weight in the catch 1st half",NA,5.077404,7.927386,10.257236,12.5106
"weight in the catch 2nd half",3.098556,5.51902,8.61458,11.384272,13.15392
"Proportion mature(2019)",0,0.021,0.801,0.988,1
"Proportion mature(2020)",0,0.021,0.801,0.988,1
"Natural mortality 1st half",NA,0.514166,0.390459,0.27124,0.250925
"Natural mortality 2nd half",0.605735,0.515667,0.330908,0.322548,0.304218
