"Year","Age 0","Age 1","Age 2","Age 3","Age 4","Avg. 1-2"
"1983",0.012,0.284,0.996,1.443,1.446,0.64
"1984",0.013,0.32,1.125,1.625,1.634,0.723
"1985",0.014,0.343,1.202,1.745,1.74,0.772
"1986",0.005,0.242,0.846,1.218,1.212,0.544
"1987",0.008,0.179,0.636,0.923,0.921,0.408
"1988",0.005,0.261,0.917,1.313,1.311,0.589
"1989",0.001,0.823,1.059,1.037,1.035,0.941
"1990",0.002,0.824,1.057,1.032,1.032,0.941
"1991",0.005,0.551,0.716,0.705,0.706,0.634
"1992",0.003,0.828,1.07,1.047,1.05,0.949
"1993",0.001,0.365,0.47,0.464,0.464,0.417
"1994",0.001,0.301,0.386,0.379,0.378,0.344
"1995",0.002,0.566,0.723,0.708,0.706,0.644
"1996",0.003,0.53,0.675,0.66,0.66,0.602
"1997",0.005,0.5,0.639,0.627,0.629,0.569
"1998",0.002,0.654,0.818,0.799,0.799,0.736
"1999",0.017,1.041,1.084,1.052,1.053,1.062
"2000",0.016,0.832,0.864,0.843,0.842,0.848
"2001",0.05,1.263,1.33,1.303,1.307,1.296
"2002",0.004,0.965,1.015,0.965,0.96,0.99
"2003",0.015,0.803,0.848,0.81,0.813,0.825
"2004",0.008,0.845,0.881,0.838,0.839,0.863
"2005",0.001,0.957,1.335,1.337,1.334,1.146
"2006",0.001,1.169,1.63,1.626,1.621,1.399
"2007",0,0.441,0.618,0.617,0.613,0.53
"2008",0,0.824,1.149,1.137,1.135,0.987
"2009",0.001,1.015,1.423,1.417,1.41,1.219
"2010",0.001,0.386,0.944,1.407,1.395,0.665
"2011",0.001,0.435,1.043,1.563,1.545,0.739
"2012",0,0.082,0.198,0.299,0.296,0.14
"2013",0,0.494,1.192,1.782,1.774,0.843
"2014",0,0.288,0.702,1.06,1.058,0.495
"2015",0,0.272,0.662,1.002,0.995,0.467
"2016",0,0.019,0.047,0.072,0.071,0.033
"2017",0,0.367,0.892,1.348,1.34,0.629
"2018",0.002,0.413,1.016,1.543,1.535,0.715
"2019",NA,-1,-1,-1,-1,-1
"arith. mean",NA,0.527,0.843,0.993,0.991,0.685
