,2018,2017,2016,2015,2014,2013
1983,476.651,473.147,456.118,455.567,462.75,468.808
1984,205.12,203.843,196.785,196.677,198.543,200.312
1985,462.476,458.289,439.576,438.252,452.302,464.888
1986,277.318,277.042,274.094,273.8,276.606,279.57
1987,991.639,996.414,1006.697,1007.152,1001.053,998.453
1988,593.693,594.91,595.34,595.556,593.488,592.661
1989,160.386,160.818,160.822,160.959,159.616,158.595
1990,250.302,250.042,246.51,246.112,250.162,253.873
1991,331.092,331.929,328.908,328.474,333.54,337.517
1992,286.424,287.522,288.902,289.074,287.025,285.486
1993,262.869,262.061,257.339,256.973,260.153,263.513
1994,180.299,179.864,177.696,177.589,178.288,179.111
1995,399.344,398.048,397.512,397.546,395.856,394.664
1996,364.563,363.925,363.744,363.713,363.399,363.005
1997,233.685,234.092,235.035,235.073,234.137,233.565
1998,522.264,523.471,526.861,526.919,524.25,523.627
1999,225.231,226.005,227.588,227.615,226.629,226.268
2000,142.56,142.93,142.869,142.828,143.535,144.141
2001,160.697,161.772,162.334,162.292,163.414,164.35
2002,154.898,155.815,155.469,155.493,156.059,156.761
2003,243.552,242.667,239.28,239.678,237.959,235.81
2004,94.316,94.097,93.276,93.538,92.266,90.705
2005,117.296,117.226,118.25,118.982,116.888,113.273
2006,75.553,76.584,78.603,79.513,77.665,76.023
2007,88.325,90.857,92.816,94.695,93.917,93.004
2008,129.277,133.301,136.869,138.494,139.735,144.343
2009,155.144,159.415,163.542,165.305,166.828,166.425
2010,119.713,125.982,131.864,134.308,143.391,159.304
2011,452.798,476.61,494.398,508.699,584.429,743.337
2012,163.016,178.636,199.082,214.882,254.884,358.131
2013,97.198,108.534,116.508,124.274,144.634,208.304
2014,73.678,83.547,87.873,96.737,127.668,212.971
2015,93.178,105.025,119.331,129.594,204.064,NA
2016,270.485,323.072,376.054,375.495,NA,NA
2017,183.633,213.759,233.044,NA,NA,NA
2018,231.976,274.012,NA,NA,NA,NA
2019,97.593,NA,NA,NA,NA,NA
